address_or_intersection,asset_name,asset_status,asset_type,availability_confidence,availability_status,caveat,confidence_level,exact_impressions_confirmed,exact_price_confirmed,family_anchor_proximity,hgl_relevance_score,impressions_status,last_observed_date,media_format,ooh_asset_id,operator_if_known,preschool_school_proximity,pricing_status,recommended_use,retrieval_date,source_name,source_url,static_or_digital,transit_proximity,vendor_owner,verification_needed,zipcode,longitude,latitude
1123 BROADWAY,mn-05-123647,Network bookable,LinkNYC,High network presence; availability unconfirmed,Network bookable; unit-level availability unconfirmed,Public location only; availability/pricing/impressions require vendor confirmation.,High,False,False,,7.8,Vendor confirmation required,,LinkNYC digital kiosk / network street furniture,OOH-V4-0039,LinkNYC / Intersection,,Quote/vendor confirmation required,Network awareness near family/transit corridors,2026-06-11,NYC Open Data LinkNYC Kiosk Locations s4kf-3yrf,https://data.cityofnewyork.us/Social-Services/LinkNYC-Kiosk-Locations/s4kf-3yrf,Digital network; exact unit/date requires vendor confirmation,,LinkNYC / Intersection,"Confirm availability, creative specs, dayparting, price, and exact unit booking with vendor.",buffer/unknown,-73.989206,40.743203
E 23rd St & 2nd Ave,E 23rd St & 2nd Ave,Network bookable,LinkNYC,Medium-High network confidence; unit/date unconfirmed,Network bookable; exact screen/date requires confirmation,"Availability, pricing, and exact unit selection must be confirmed with the vendor before purchase.",Medium-High,False,False,To be evaluated by local context,8.2,Vendor/platform confirmation required,,Digital kiosk screen network,OOH-V4-0040,Intersection / CityBridge,To be evaluated by local context,Quote or self-service portal required,Parent/caregiver awareness for multilingual preschool-style early education; exact screen/date must be confirmed.,2026-06-11,LinkNYC KML,https://www.link.nyc/map/LinkNYC.kml,Digital,Street-level kiosk; verify locally,LinkNYC / Intersection,"Confirm screen, date, pricing, dayparting and creative specs with LinkNYC / Intersection.",10010,-73.98105517,40.73805173
224 2 AVENUE,mn-03-121470,Network bookable,LinkNYC,High network presence; availability unconfirmed,Network bookable; unit-level availability unconfirmed,Public location only; availability/pricing/impressions require vendor confirmation.,High,False,False,,7.8,Vendor confirmation required,,LinkNYC digital kiosk / network street furniture,OOH-V4-0041,LinkNYC / Intersection,,Quote/vendor confirmation required,Network awareness near family/transit corridors,2026-06-11,NYC Open Data LinkNYC Kiosk Locations s4kf-3yrf,https://data.cityofnewyork.us/Social-Services/LinkNYC-Kiosk-Locations/s4kf-3yrf,Digital network; exact unit/date requires vendor confirmation,,LinkNYC / Intersection,"Confirm availability, creative specs, dayparting, price, and exact unit booking with vendor.",buffer/unknown,-73.984823,40.732206
183 7 AVENUE,mn-04-115165,Network bookable,LinkNYC,High network presence; availability unconfirmed,Network bookable; unit-level availability unconfirmed,Public location only; availability/pricing/impressions require vendor confirmation.,High,False,False,,7.8,Vendor confirmation required,,LinkNYC digital kiosk / network street furniture,OOH-V4-0042,LinkNYC / Intersection,,Quote/vendor confirmation required,Network awareness near family/transit corridors,2026-06-11,NYC Open Data LinkNYC Kiosk Locations s4kf-3yrf,https://data.cityofnewyork.us/Social-Services/LinkNYC-Kiosk-Locations/s4kf-3yrf,Digital network; exact unit/date requires vendor confirmation,,LinkNYC / Intersection,"Confirm availability, creative specs, dayparting, price, and exact unit booking with vendor.",buffer/unknown,-73.996549,40.742674
31 EAST 26 STREET,mn-05-121630,Network bookable,LinkNYC,High network presence; availability unconfirmed,Network bookable; unit-level availability unconfirmed,Public location only; availability/pricing/impressions require vendor confirmation.,High,False,False,,7.8,Vendor confirmation required,,LinkNYC digital kiosk / network street furniture,OOH-V4-0043,LinkNYC / Intersection,,Quote/vendor confirmation required,Network awareness near family/transit corridors,2026-06-11,NYC Open Data LinkNYC Kiosk Locations s4kf-3yrf,https://data.cityofnewyork.us/Social-Services/LinkNYC-Kiosk-Locations/s4kf-3yrf,Digital network; exact unit/date requires vendor confirmation,,LinkNYC / Intersection,"Confirm availability, creative specs, dayparting, price, and exact unit booking with vendor.",buffer/unknown,-73.98642,40.74276
193 2 AVENUE,mn-03-115305,Network bookable,LinkNYC,High network presence; availability unconfirmed,Network bookable; unit-level availability unconfirmed,Public location only; availability/pricing/impressions require vendor confirmation.,High,False,False,,7.8,Vendor confirmation required,,LinkNYC digital kiosk / network street furniture,OOH-V4-0044,LinkNYC / Intersection,,Quote/vendor confirmation required,Network awareness near family/transit corridors,2026-06-11,NYC Open Data LinkNYC Kiosk Locations s4kf-3yrf,https://data.cityofnewyork.us/Social-Services/LinkNYC-Kiosk-Locations/s4kf-3yrf,Digital network; exact unit/date requires vendor confirmation,,LinkNYC / Intersection,"Confirm availability, creative specs, dayparting, price, and exact unit booking with vendor.",buffer/unknown,-73.985928,40.731157
90 LAFAYETTE STREET,mn-01-137940,Network bookable,LinkNYC,High network presence; availability unconfirmed,Network bookable; unit-level availability unconfirmed,Public location only; availability/pricing/impressions require vendor confirmation.,High,False,False,,7.8,Vendor confirmation required,,LinkNYC digital kiosk / network street furniture,OOH-V4-0045,LinkNYC / Intersection,,Quote/vendor confirmation required,Network awareness near family/transit corridors,2026-06-11,NYC Open Data LinkNYC Kiosk Locations s4kf-3yrf,https://data.cityofnewyork.us/Social-Services/LinkNYC-Kiosk-Locations/s4kf-3yrf,Digital network; exact unit/date requires vendor confirmation,,LinkNYC / Intersection,"Confirm availability, creative specs, dayparting, price, and exact unit booking with vendor.",buffer/unknown,-74.001519,40.717482
125 WORTH STREET,mn-01-137399,Network bookable,LinkNYC,High network presence; availability unconfirmed,Network bookable; unit-level availability unconfirmed,Public location only; availability/pricing/impressions require vendor confirmation.,High,False,False,,7.8,Vendor confirmation required,,LinkNYC digital kiosk / network street furniture,OOH-V4-0046,LinkNYC / Intersection,,Quote/vendor confirmation required,Network awareness near family/transit corridors,2026-06-11,NYC Open Data LinkNYC Kiosk Locations s4kf-3yrf,https://data.cityofnewyork.us/Social-Services/LinkNYC-Kiosk-Locations/s4kf-3yrf,Digital network; exact unit/date requires vendor confirmation,,LinkNYC / Intersection,"Confirm availability, creative specs, dayparting, price, and exact unit booking with vendor.",buffer/unknown,-74.002667,40.715484
60 LAFAYETTE STREET,mn-01-138237,Network bookable,LinkNYC,High network presence; availability unconfirmed,Network bookable; unit-level availability unconfirmed,Public location only; availability/pricing/impressions require vendor confirmation.,High,False,False,,7.8,Vendor confirmation required,,LinkNYC digital kiosk / network street furniture,OOH-V4-0047,LinkNYC / Intersection,,Quote/vendor confirmation required,Network awareness near family/transit corridors,2026-06-11,NYC Open Data LinkNYC Kiosk Locations s4kf-3yrf,https://data.cityofnewyork.us/Social-Services/LinkNYC-Kiosk-Locations/s4kf-3yrf,Digital network; exact unit/date requires vendor confirmation,,LinkNYC / Intersection,"Confirm availability, creative specs, dayparting, price, and exact unit booking with vendor.",buffer/unknown,-74.002253,40.716682
66 WEST 21 STREET,mn-05-108001,Network bookable,LinkNYC,High network presence; availability unconfirmed,Network bookable; unit-level availability unconfirmed,Public location only; availability/pricing/impressions require vendor confirmation.,High,False,False,,7.8,Vendor confirmation required,,LinkNYC digital kiosk / network street furniture,OOH-V4-0048,LinkNYC / Intersection,,Quote/vendor confirmation required,Network awareness near family/transit corridors,2026-06-11,NYC Open Data LinkNYC Kiosk Locations s4kf-3yrf,https://data.cityofnewyork.us/Social-Services/LinkNYC-Kiosk-Locations/s4kf-3yrf,Digital network; exact unit/date requires vendor confirmation,,LinkNYC / Intersection,"Confirm availability, creative specs, dayparting, price, and exact unit booking with vendor.",buffer/unknown,-73.993593,40.741502
146 3 AVENUE,mn-06-135588,Network bookable,LinkNYC,High network presence; availability unconfirmed,Network bookable; unit-level availability unconfirmed,Public location only; availability/pricing/impressions require vendor confirmation.,High,False,False,,7.8,Vendor confirmation required,,LinkNYC digital kiosk / network street furniture,OOH-V4-0049,LinkNYC / Intersection,,Quote/vendor confirmation required,Network awareness near family/transit corridors,2026-06-11,NYC Open Data LinkNYC Kiosk Locations s4kf-3yrf,https://data.cityofnewyork.us/Social-Services/LinkNYC-Kiosk-Locations/s4kf-3yrf,Digital network; exact unit/date requires vendor confirmation,,LinkNYC / Intersection,"Confirm availability, creative specs, dayparting, price, and exact unit booking with vendor.",buffer/unknown,-73.986658,40.734222
1 IRVING PLACE,mn-05-134620,Network bookable,LinkNYC,High network presence; availability unconfirmed,Network bookable; unit-level availability unconfirmed,Public location only; availability/pricing/impressions require vendor confirmation.,High,False,False,,7.8,Vendor confirmation required,,LinkNYC digital kiosk / network street furniture,OOH-V4-0050,LinkNYC / Intersection,,Quote/vendor confirmation required,Network awareness near family/transit corridors,2026-06-11,NYC Open Data LinkNYC Kiosk Locations s4kf-3yrf,https://data.cityofnewyork.us/Social-Services/LinkNYC-Kiosk-Locations/s4kf-3yrf,Digital network; exact unit/date requires vendor confirmation,,LinkNYC / Intersection,"Confirm availability, creative specs, dayparting, price, and exact unit booking with vendor.",buffer/unknown,-73.98874,40.734148
165 3 AVENUE,mn-06-133339,Network bookable,LinkNYC,High network presence; availability unconfirmed,Network bookable; unit-level availability unconfirmed,Public location only; availability/pricing/impressions require vendor confirmation.,High,False,False,,7.8,Vendor confirmation required,,LinkNYC digital kiosk / network street furniture,OOH-V4-0051,LinkNYC / Intersection,,Quote/vendor confirmation required,Network awareness near family/transit corridors,2026-06-11,NYC Open Data LinkNYC Kiosk Locations s4kf-3yrf,https://data.cityofnewyork.us/Social-Services/LinkNYC-Kiosk-Locations/s4kf-3yrf,Digital network; exact unit/date requires vendor confirmation,,LinkNYC / Intersection,"Confirm availability, creative specs, dayparting, price, and exact unit booking with vendor.",buffer/unknown,-73.986175,40.734473
364 2 AVENUE,mn-06-134533,Network bookable,LinkNYC,High network presence; availability unconfirmed,Network bookable; unit-level availability unconfirmed,Public location only; availability/pricing/impressions require vendor confirmation.,High,False,False,,7.8,Vendor confirmation required,,LinkNYC digital kiosk / network street furniture,OOH-V4-0052,LinkNYC / Intersection,,Quote/vendor confirmation required,Network awareness near family/transit corridors,2026-06-11,NYC Open Data LinkNYC Kiosk Locations s4kf-3yrf,https://data.cityofnewyork.us/Social-Services/LinkNYC-Kiosk-Locations/s4kf-3yrf,Digital network; exact unit/date requires vendor confirmation,,LinkNYC / Intersection,"Confirm availability, creative specs, dayparting, price, and exact unit booking with vendor.",buffer/unknown,-73.981608,40.736747
415 2 AVENUE,mn-06-135228,Network bookable,LinkNYC,High network presence; availability unconfirmed,Network bookable; unit-level availability unconfirmed,Public location only; availability/pricing/impressions require vendor confirmation.,High,False,False,,7.8,Vendor confirmation required,,LinkNYC digital kiosk / network street furniture,OOH-V4-0053,LinkNYC / Intersection,,Quote/vendor confirmation required,Network awareness near family/transit corridors,2026-06-11,NYC Open Data LinkNYC Kiosk Locations s4kf-3yrf,https://data.cityofnewyork.us/Social-Services/LinkNYC-Kiosk-Locations/s4kf-3yrf,Digital network; exact unit/date requires vendor confirmation,,LinkNYC / Intersection,"Confirm availability, creative specs, dayparting, price, and exact unit booking with vendor.",buffer/unknown,-73.98061,40.738502
9th Ave & W 16th St,9th Ave & W 16th St,Network bookable,LinkNYC,Medium-High network confidence; unit/date unconfirmed,Network bookable; exact screen/date requires confirmation,"Availability, pricing, and exact unit selection must be confirmed with the vendor before purchase.",Medium-High,False,False,To be evaluated by local context,7.6,Vendor/platform confirmation required,,Digital kiosk screen network,OOH-V4-0054,Intersection / CityBridge,To be evaluated by local context,Quote or self-service portal required,Parent/caregiver awareness for multilingual preschool-style early education; exact screen/date must be confirmed.,2026-06-11,LinkNYC KML,https://www.link.nyc/map/LinkNYC.kml,Digital,Street-level kiosk; verify locally,LinkNYC / Intersection,"Confirm screen, date, pricing, dayparting and creative specs with LinkNYC / Intersection.",10011,-74.00436342,40.74212485
41 MADISON AVENUE,mn-05-121631,Network bookable,LinkNYC,High network presence; availability unconfirmed,Network bookable; unit-level availability unconfirmed,Public location only; availability/pricing/impressions require vendor confirmation.,High,False,False,,7.8,Vendor confirmation required,,LinkNYC digital kiosk / network street furniture,OOH-V4-0055,LinkNYC / Intersection,,Quote/vendor confirmation required,Network awareness near family/transit corridors,2026-06-11,NYC Open Data LinkNYC Kiosk Locations s4kf-3yrf,https://data.cityofnewyork.us/Social-Services/LinkNYC-Kiosk-Locations/s4kf-3yrf,Digital network; exact unit/date requires vendor confirmation,,LinkNYC / Intersection,"Confirm availability, creative specs, dayparting, price, and exact unit booking with vendor.",buffer/unknown,-73.986648,40.742573
